date,comp,place,value,placeID
2021-01-05,P,Torino,1175.1598344797535,0
2021-01-06,P,Torino,1229.9197632919531,0
2021-01-07,P,Torino,1309.8084378237763,0
2021-01-08,P,Torino,1406.2352395534524,0
2021-01-09,P,Torino,1517.6378005873532,0
2021-01-10,P,Torino,1648.3699711059808,0
2021-01-11,P,Torino,1800.3007110995272,0
2021-01-12,P,Torino,1968.9346471933784,0
2021-01-13,P,Torino,2151.8836747111454,0
2021-01-14,P,Torino,2350.5441349789476,0
2021-01-15,P,Torino,2571.9832612717228,0
2021-01-16,P,Torino,2816.160286193633,0
2021-01-17,P,Torino,3075.779587623728,0
2021-01-18,P,Torino,3346.4561972585598,0
2021-01-19,P,Torino,3624.480297430578,0
2021-01-20,P,Torino,3905.656338513137,0
2021-01-21,P,Torino,4186.4136368976815,0
2021-01-22,P,Torino,4463.935491222084,0
2021-01-23,P,Torino,4735.871637101501,0
2021-01-24,P,Torino,5000.114719584009,0
2021-01-25,P,Torino,5253.690124114636,0
2021-01-26,P,Torino,5494.304629245177,0
2021-01-27,P,Torino,5720.043062351109,0
2021-01-28,P,Torino,5928.455321122726,0
2021-01-29,P,Torino,6116.912035123818,0
2021-01-30,P,Torino,6282.639678167926,0
2021-01-31,P,Torino,6423.901188373035,0
2021-02-01,P,Torino,6539.218562634089,0
2021-02-02,P,Torino,6478.765670145953,0
2021-02-03,P,Torino,6523.32256215996,0
2021-02-04,P,Torino,6537.412449508816,0
2021-02-05,P,Torino,6523.907166312209,0
2021-02-06,P,Torino,6485.258730398005,0
2021-02-07,P,Torino,6423.579218168817,0
2021-02-08,P,Torino,6339.88517550341,0
2021-02-09,P,Torino,5680.6906264417275,0
2021-02-10,P,Torino,5527.743174338544,0
2021-02-11,P,Torino,5349.156763187932,0
2021-02-12,P,Torino,5154.021913636766,0
2021-02-13,P,Torino,4949.6849143471545,0
2021-02-14,P,Torino,4741.946875770055,0
2021-02-15,P,Torino,4534.731860464664,0
2021-02-16,P,Torino,4331.261000141621,0
2021-02-17,P,Torino,4133.706911616486,0
2021-02-18,P,Torino,3943.3489240553804,0
2021-02-19,P,Torino,3761.214946713561,0
2021-02-20,P,Torino,3587.9749615341993,0
2021-02-21,P,Torino,3424.1589994055394,0
2021-02-22,P,Torino,3270.603923917137,0
2021-02-23,P,Torino,3127.6047236251475,0
2021-02-24,P,Torino,2995.6746445079693,0
2021-02-25,P,Torino,2875.394969743584,0
2021-02-26,P,Torino,2766.5648009566353,0
2021-02-27,P,Torino,2668.1963510835362,0
2021-02-28,P,Torino,2579.135812253066,0
2021-03-01,P,Torino,2498.271748791079,0
2021-03-02,P,Torino,2424.594350149626,0
2021-03-03,P,Torino,2357.441789408187,0
2021-03-04,P,Torino,2296.222352219874,0
2021-03-05,P,Torino,2240.4985032110976,0
2021-03-06,P,Torino,2190.016020009043,0
2021-03-07,P,Torino,2144.541731104541,0
2021-03-08,P,Torino,2104.094793590096,0
2021-03-09,P,Torino,2068.6779911508434,0
2021-03-10,P,Torino,2037.6239964197907,0
2021-03-11,P,Torino,2010.0344704234294,0
2021-03-12,P,Torino,1985.4678484238384,0
2021-03-13,P,Torino,1963.7326323971197,0
2021-03-14,P,Torino,1944.627874659753,0
2021-03-15,P,Torino,1928.2828092665702,0
2021-03-16,P,Torino,1914.9985177175506,0
2021-03-17,P,Torino,1904.9640324297031,0
2021-03-18,P,Torino,1898.3165023958318,0
2021-03-19,P,Torino,1894.996184258489,0
2021-03-20,P,Torino,1894.798682696565,0
2021-03-21,P,Torino,1897.4266021485364,0
2021-03-22,P,Torino,1902.5526955953394,0
2021-03-23,P,Torino,1910.272359096017,0
2021-03-24,P,Torino,1921.1885216748262,0
2021-03-25,P,Torino,1935.8872482468614,0
2021-03-26,P,Torino,1954.443736548091,0
2021-03-27,P,Torino,1976.447684284884,0
2021-03-28,P,Torino,2001.1338810630868,0
2021-03-29,P,Torino,2027.8714718424296,0
2021-03-30,P,Torino,2056.8282126049653,0
2021-03-31,P,Torino,2082.8382657856614,0
2021-04-01,P,Torino,2103.7220247913897,0
2021-04-02,P,Torino,2122.7392397695444,0
2021-04-03,P,Torino,2142.062790961385,0
2021-01-04,I,Torino,379.7362011243098,0
2021-01-05,I,Torino,374.9613189040547,0
2021-01-06,I,Torino,374.62702143412577,0
2021-01-07,I,Torino,380.34639469917704,0
2021-01-08,I,Torino,392.16643079935574,0
2021-01-09,I,Torino,409.70187245692324,0
2021-01-10,I,Torino,432.8206259625801,0
2021-01-11,I,Torino,461.78914688828553,0
2021-01-12,I,Torino,496.64229937885375,0
2021-01-13,I,Torino,537.0268984746009,0
2021-01-14,I,Torino,582.7016828396247,0
2021-01-15,I,Torino,633.8075872077354,0
2021-01-16,I,Torino,690.9502093980819,0
2021-01-17,I,Torino,754.0598242799477,0
2021-01-18,I,Torino,822.5972959997201,0
2021-01-19,I,Torino,895.8471820827069,0
2021-01-20,I,Torino,972.9474682340408,0
2021-01-21,I,Torino,1052.9294102081476,0
2021-01-22,I,Torino,1134.8272615795313,0
2021-01-23,I,Torino,1217.718486412107,0
